Num Parent Tweets,Num Replies to Parents,Avg Replies per Parent,Num Parent Tweets with Replies,Avg Replies per Parent with Replies,Num Toxic Parent Tweets,Num Non-Toxic Parent Tweets,Num Toxic Replies,Num Non-Toxic Replies,Num Toxic Replies to Non-Toxic Parents,Num Non-Toxic Replies to Non-Toxic Parents,Num Toxic Replies to Toxic Parents,Num Non-Toxic Replies to Toxic Parents,followers_count,friends_count,listed_count,created_at,favourites_count,geo_enabled,verified,statuses_count,contributors_enabled,is_translator,is_translation_enabled,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,geo,place,truncated,hashtags,symbols,user_mentions,urls,contributors,is_quote_status,retweet_count min,retweet_count avg,retweet_count max,favorite_count min,favorite_count avg,favorite_count max,favorited,retweeted,possibly_sensitive,Num Repliers With Min 1 Toxic Reply,Num parents with high Toxicity,Num parents with high Severe_Toxicity,Num parents with high Identity_Attack,Num parents with high Insult,Num parents with high Profanity,Num parents with high Threat,Num parents with high other attr,Num replies with high Toxicity,Num replies with high Severe_Toxicity,Num replies with high Identity_Attack,Num replies with high Insult,Num replies with high Profanity,Num replies with high Threat,Num replies with high other attr,Total tweets with high Toxicity,Total tweets with high Severe_Toxicity,Total tweets with high Identity_Attack,Total tweets with high Insult,Total tweets with high Profanity,Total tweets with high Threat,Total tweets with high other attr,Num Repliers,Num parents with <3 replies,Num parents with >=3 replies,User Desc,Top Desc Word #1: women,Top Desc Word #2: love,Top Desc Word #3: news,Top Desc Word #4: account,Top Desc Word #5: feminist,Top Desc Word #6: official,Top Desc Word #7: follow,Top Desc Word #8: products,Top Desc Word #9: tweets,Top Desc Word #10: womens
1370,115,0.083941606,105,1.095238095,223,1147,8,107,7,94,1,13,4495,2228,27,Wed Dec 30 14:16:09 +0000 2009,186870,Yes,No,645799,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,0,0.217518248,12,0,0.454744526,15,No,No,No,8,8,0,60,5,145,5,0,0,0,1,0,7,0,0,8,0,61,5,152,5,0,75,1367,3,User Desc,No,No,No,No,No,No,No,No,No,No
3200,2,0.000625,1,2,0,3200,0,2,0,2,0,0,300,29,3,Fri Jun 08 17:12:37 +0000 2018,144,Yes,No,3832,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,0,4.064375,34,0,1.5825,16,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3200,0,User Desc,No,No,No,No,No,No,No,No,No,No
3200,0,0,0,0,0,3200,0,0,0,0,0,0,230,0,6,Sat Jun 09 07:55:41 +0000 2018,3,No,No,95314,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,0,0.0015625,2,0,0.00125,2,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3200,0,User Desc,No,No,No,No,No,No,No,No,No,No
1909,9,0.00471451,9,1,17,1892,0,9,0,9,0,0,523,921,1,Sun Jun 10 19:51:03 +0000 2018,186934,No,No,24078,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,0,0.071765322,6,0,0.332111053,11,No,No,Yes,0,1,0,0,2,11,3,0,0,0,0,0,0,0,0,1,0,0,2,11,3,0,5,1909,0,User Desc,No,No,No,No,No,No,No,No,No,No
1450,501,0.345517241,74,6.77027027,58,1392,10,491,9,473,1,18,115382,179,892,Tue Jun 12 13:00:25 +0000 2018,37913,No,No,12924,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,0,96.17517241,2893,19,501.2282759,19098,No,No,No,10,2,0,4,14,37,1,0,0,0,0,4,6,0,0,2,0,4,18,43,1,0,395,1398,52,User Desc,No,No,No,No,No,No,No,No,No,No
1460,479,0.328082192,70,6.842857143,55,1405,13,466,13,466,0,0,114937,179,892,Tue Jun 12 13:00:25 +0000 2018,37824,No,No,13076,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,0,95.8630137,2897,19,499.2787671,19107,No,No,No,13,2,0,3,13,35,2,0,0,0,1,5,7,0,0,2,0,4,18,42,2,0,380,1411,49,User Desc,No,No,No,No,No,No,No,No,No,No
1464,541,0.369535519,34,15.91176471,47,1417,9,532,9,532,0,0,111772,179,868,Tue Jun 12 13:00:25 +0000 2018,37942,No,No,13887,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,0,92.54508197,3133,19,490.5321038,19836,No,No,No,9,1,0,2,12,32,0,0,1,0,0,2,6,0,0,2,0,2,14,38,0,0,477,1445,19,User Desc,No,No,No,No,No,No,No,No,No,No
1483,548,0.369521241,47,11.65957447,55,1428,16,532,15,527,1,5,112219,180,874,Tue Jun 12 13:00:25 +0000 2018,37864,No,No,13796,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,0,93.08698584,3079,19,492.1078894,19769,No,No,No,16,1,0,1,15,36,2,0,1,0,2,2,11,0,0,2,0,3,17,47,2,0,435,1449,34,User Desc,No,No,No,No,No,No,No,No,No,No
1440,450,0.3125,41,10.97560976,47,1393,15,435,15,435,0,0,113250,177,888,Tue Jun 12 13:00:25 +0000 2018,37729,No,No,13598,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,0,95.07291667,3004,19,501.5972222,19645,No,No,No,15,0,0,1,14,30,2,0,1,0,0,2,11,1,0,1,0,1,16,41,3,0,386,1409,31,User Desc,No,No,No,No,No,No,No,No,No,No
1438,482,0.335187761,69,6.985507246,97,1341,10,472,10,456,0,16,115761,179,898,Tue Jun 12 13:00:25 +0000 2018,37989,No,No,12912,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,0,97.02920723,2888,19,505.1655076,19065,No,No,No,10,2,0,4,24,65,2,0,0,0,0,2,8,0,0,2,0,4,26,73,2,0,379,1387,51,User Desc,No,No,No,No,No,No,No,No,No,No
