Filename,followers_count,friends_count,verified,statuses_count,following,user_mentions,Num replies with high Toxicity,Num replies with high Severe_Toxicity,Num replies with high Identity_Attack,Num replies with high Insult,Num replies with high Profanity,Num replies with high Threat,Num replies with high other attr,Top Desc Word #1: women,Top Desc Word #2: love,Top Desc Word #3: news,Top Desc Word #4: account,Top Desc Word #5: feminist,Top Desc Word #6: official,Top Desc Word #7: follow,Top Desc Word #8: products,Top Desc Word #9: tweets,Top Desc Word #10: womens
1057181912354220000,115,281,No,7652,No,No,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1057299737299210000,46,40,No,38522,No,Yes,0,0,0,0,0,0,0,Yes,No,No,No,No,No,No,No,No,No
1057299737299210000,46,40,No,38522,No,Yes,0,0,0,0,0,0,0,Yes,No,No,No,No,No,No,No,No,No
1057299737299210000,47,40,No,38522,No,Yes,0,0,0,0,0,0,0,Yes,No,No,No,No,No,No,No,No,No
1057299737299210000,47,40,No,38522,No,Yes,0,0,0,0,0,0,0,Yes,No,No,No,No,No,No,No,No,No
105814154,28683,3909,Yes,28712,No,Yes,0,0,0,0,0,0,0,Yes,No,No,No,No,No,No,No,No,No
1059925545369120000,766,2494,No,3116,No,Yes,0,0,0,0,0,0,0,Yes,No,No,No,No,No,No,No,No,No
1060338999611420000,13835,6343,No,28006,No,Yes,0,0,1,4,18,3,0,No,No,No,No,No,No,No,No,No,No
1060338999611420000,13789,6346,No,27723,No,Yes,0,0,0,0,8,0,0,No,No,No,No,No,No,No,No,No,No
1061336814198420000,118,217,No,18213,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1061336814198420000,63,135,No,15065,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1061336814198420000,119,217,No,18211,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1061431340,3552,2524,No,76378,No,No,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1061898092302060000,5702,5839,No,21327,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1065490121628220000,2613,4,No,566,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
106592553,865,526,No,23813,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1066004604574400000,33970,1710,Yes,3926,No,Yes,0,0,0,0,1,0,0,No,No,No,No,No,No,No,No,No,No
10666432,5035,5534,No,63060,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1066773270773540000,88199,6073,No,61405,No,Yes,2,0,1,5,24,1,0,No,No,No,No,No,No,No,No,No,No
1066773270773540000,88373,6125,No,62050,No,Yes,7,0,4,13,40,0,0,No,No,No,No,No,No,No,No,No,No
1066773270773540000,88529,6225,No,63116,No,Yes,4,0,3,11,40,6,0,No,No,No,No,No,No,No,No,No,No
1066838410059570000,120,43,No,1170,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1067466934482920000,113,75,No,5785,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
106768069,13078,211,Yes,16469,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,Yes,No,No,No,Yes
1067755267813710000,15541,0,No,2088,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1069554739728140000,1144,4717,No,15164,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1069554739728140000,1142,4709,No,15593,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1071113389684980000,14,0,No,2362,No,No,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1072061681440830000,1382,1671,No,11277,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1073259525539530000,1915,1146,No,37724,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1073516549686860000,266,9,No,615,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1073516549686860000,266,9,No,615,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1073598169739650000,932,1671,No,5013,No,No,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1073598169739650000,929,1657,No,5013,No,No,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1073700205168640000,384,157,No,3856,No,No,0,0,0,0,0,0,0,No,Yes,No,No,No,No,No,No,No,No
1073700205168640000,389,159,No,3922,No,No,0,0,0,0,0,0,0,No,Yes,No,No,No,No,No,No,No,No
1073802444,34834,2672,Yes,42730,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1073802444,34821,2675,Yes,42196,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1074301283534810000,669,467,No,6404,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1075658232109170000,0,44,No,3351,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1075658232109170000,0,44,No,3611,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1076211941264240000,701958,4053,No,17316,No,No,6,0,0,0,7,0,0,No,No,No,No,No,No,No,No,No,No
1076211941264240000,720955,4033,No,17785,No,No,9,0,0,0,21,1,0,No,No,No,No,No,No,No,No,No,No
1076341804125960000,802,2287,No,125027,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1076548103346500000,2338,172,No,5272,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1077515403260120000,2298,4997,No,33779,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1078250431892080000,2361,1106,No,5836,No,Yes,0,0,0,0,0,0,0,No,Yes,No,No,No,No,No,No,No,No
1078536493730350000,300,24,No,10699,No,No,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1078998642554490000,521,1007,No,54418,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1079306826557120000,2206,234,No,12977,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1079391018573800000,1834,2856,No,113716,No,No,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1080181292,23338,21592,No,36074,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
108082177,23131,12510,No,74520,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1080992698360840000,63,2,No,2284,No,No,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1081419376639850000,2060,740,No,24013,No,No,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
108247122,8704,2315,No,118999,No,Yes,0,0,0,0,0,0,0,No,No,No,No,Yes,No,No,No,No,No
1082579500217650000,2157,1522,No,41715,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1082828700,7673,5668,No,128517,No,No,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1082828700,7659,5665,No,130437,No,No,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1083403289218160000,1332,524,No,14844,No,No,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1083513338141830000,31,73,No,12686,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1084305127,4419,4314,No,50904,No,Yes,0,0,0,0,1,0,0,No,No,No,No,No,No,No,No,No,No
1084518784004540000,10412,55,No,24350,No,Yes,0,0,0,1,0,0,0,No,No,Yes,No,No,No,No,No,No,No
1087323492557540000,57,84,No,9054,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,Yes,No,No
1087881723801670000,574,265,No,16200,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1088281500242590000,210,329,No,26111,No,Yes,1,0,0,0,1,0,0,No,No,No,No,No,No,No,No,No,No
1088761072163510000,19453,745,No,13169,No,Yes,0,0,0,0,6,0,0,No,No,No,No,Yes,No,No,No,No,No
1088761072163510000,19391,746,No,13122,No,Yes,0,0,0,1,8,0,0,No,No,No,No,Yes,No,No,No,No,No
1088761072163510000,19335,743,No,13091,No,Yes,0,0,0,0,0,0,0,No,No,No,No,Yes,No,No,No,No,No
1088761072163510000,18519,800,No,12714,No,Yes,0,0,0,3,14,0,0,No,No,No,No,Yes,No,No,No,No,No
1088761072163510000,18831,797,No,12787,No,Yes,1,0,0,1,11,0,0,No,No,No,No,Yes,No,No,No,No,No
1088761072163510000,18890,799,No,12818,No,Yes,2,0,1,1,13,0,0,No,No,No,No,Yes,No,No,No,No,No
1088761072163510000,19057,799,No,12880,No,Yes,0,0,0,0,0,0,0,No,No,No,No,Yes,No,No,No,No,No
1088761072163510000,19480,746,No,13182,No,Yes,1,0,0,2,13,0,0,No,No,No,No,Yes,No,No,No,No,No
1090007832475380000,30,506,No,406,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1090498878938400000,1111,406,No,54799,No,No,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1090838164766220000,65927,835,Yes,5060,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,Yes,No
1090998185483480000,466,718,No,13559,No,Yes,0,0,0,0,0,1,0,No,No,No,No,No,No,No,No,No,No
1091198657825820000,2,4,No,5103,No,No,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1091321111051150000,1151,462,No,74352,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1091367108674490000,1529,1079,No,54901,No,Yes,0,0,0,0,0,0,0,No,No,No,No,No,No,No,No,No,No
1091367108674490000,1509,1077,No,53842,No,Yes,0,0,0,0,1,0,0,No,No,No,No,Yes,No,No,No,No,No
109220563,1169270,437,Yes,213806,No,Yes,1,0,0,14,7,16,0,No,No,Yes,No,No,No,No,No,No,No
