Parent tweets,Replies to parents,Avg replies per parent,Parent tweets with replies,Avg replies per parent with replies,Toxic parent tweets,Non-toxic parent tweets,Toxic replies,Non-toxic replies,Toxic replies to non-toxic parents,Non-toxic replies to non-toxic parents,Toxic replies to toxic parents,Non-toxic replies to toxic parents,Followers_count,Friends_count,Listed_count,Favourites_count,Verified,Statuses_count,Retweet_count min,Retweet_count avg,Retweet_count max,Favorite_count min,Favorite_count avg,Favorite_count max,Possibly_sensitive,Repliers with min 1 toxic reply,High toxicity parents,High severe_toxicity parents,High identity_attack parents,High insult parents,High profanity parents,High threat parents,High other attr parents,High toxicity replies,High severe_toxicity replies,High identity_attack replies,High insult replies,High profanity replies,High threat replies,High other attr replies,Repliers,<3 replies parents,>=3 replies parents,Women,Love,News,Account,Feminist,Official,Follow,Products,Tweets,Womens,Toxicity
1615.0,1.0,0.000619195,1.0,1.0,98.0,1517.0,0.0,1.0,0.0,1.0,0.0,0.0,751.0,2446.0,11.0,22473.0,0,97060.0,0.0,0.141795666,6.0,0.0,0.308359133,20.0,0,0.0,6.0,0.0,26.0,2.0,59.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1615,0,0,0,0,0,0,0,0,0,0,0,98.0
1360.0,2.0,0.001470588,2.0,1.0,0.0,1360.0,0.0,2.0,0.0,2.0,0.0,0.0,1121.0,987.0,27.0,14204.0,0,14598.0,0.0,1.442647059,13.0,0.0,1.406617647,10.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1360,0,0,0,0,0,0,0,0,0,0,0,0.0
27.0,60.0,2.222222222,23.0,2.608695652,0.0,27.0,0.0,60.0,0.0,60.0,0.0,0.0,1357.0,405.0,4.0,27854.0,0,35625.0,2.0,19.88888889,40.0,1.0,6.481481481,14.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,18,9,0,0,0,0,0,0,0,0,0,0,0.0
273.0,9.0,0.032967033,4.0,2.25,5.0,268.0,0.0,9.0,0.0,9.0,0.0,0.0,1519.0,1201.0,0.0,42854.0,0,38190.0,0.0,0.417582418,21.0,0.0,2.523809524,152.0,0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,271,2,0,0,0,0,0,0,0,0,0,0,5.0
1811.0,0.0,0.0,0.0,0.0,0.0,1811.0,0.0,0.0,0.0,0.0,0.0,0.0,1226.0,204.0,3.0,365.0,0,2244.0,0.0,1.4853672,43.0,0.0,2.247929321,62.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1811,0,0,0,0,0,0,0,0,0,0,0,0.0
3138.0,244.0,0.077756533,43.0,5.674418605,0.0,3138.0,0.0,244.0,0.0,244.0,0.0,0.0,8379.0,1.0,37.0,438.0,0,85635.0,0.0,0.102613129,181.0,0.0,0.1513703,91.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,3131,7,0,0,0,1,0,0,0,0,0,0,0.0
2164.0,4401.0,2.033733826,483.0,9.111801242,16.0,2148.0,34.0,4367.0,31.0,4318.0,3.0,49.0,28390.0,23316.0,33.0,37004.0,0,135015.0,0.0,9.993068392,1561.0,0.0,40.43622921,5866.0,0,34.0,0.0,0.0,2.0,6.0,7.0,1.0,0.0,3.0,0.0,0.0,14.0,16.0,1.0,0.0,3328.0,1940,224,0,0,0,0,0,0,0,0,0,0,50.0
1245.0,446.0,0.358232932,190.0,2.347368421,12.0,1233.0,0.0,446.0,0.0,445.0,0.0,1.0,8195.0,7644.0,6.0,80500.0,0,306477.0,0.0,0.436144578,56.0,0.0,2.334136546,135.0,0,0.0,0.0,0.0,0.0,2.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,1214,31,0,0,0,0,0,0,0,0,0,0,12.0
1303.0,32.0,0.024558711,18.0,1.777777778,0.0,1303.0,0.0,32.0,0.0,32.0,0.0,0.0,11779.0,999.0,5.0,17332.0,1,13411.0,0.0,45.18879509,7100.0,2.0,67.62624712,2053.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1299,4,0,0,0,0,0,0,0,0,0,0,0.0
8.0,9.0,1.125,3.0,3.0,6.0,2.0,1.0,8.0,0.0,7.0,1.0,1.0,3223.0,80.0,2.0,709.0,0,363.0,0.0,4.75,14.0,10.0,23.625,40.0,1,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,7,1,0,0,0,0,0,0,0,0,0,0,7.0
