followers_count,friends_count,verified,statuses_count,women,love,news,account,feminist,official,follow,products,tweets,womens,Toxicity
63.0,135.0,0,15065.0,0,0,0,0,0,0,0,0,0,0,0.0
119.0,217.0,0,18211.0,0,0,0,0,0,0,0,0,0,0,0.0
3552.0,2524.0,0,76378.0,0,0,0,0,0,0,0,0,0,0,0.0
5702.0,5839.0,0,21327.0,0,0,0,0,0,0,0,0,0,0,0.0
2613.0,4.0,0,566.0,0,0,0,0,0,0,0,0,0,0,0.0
865.0,526.0,0,23813.0,0,0,0,0,0,0,0,0,0,0,0.0
33970.0,1710.0,1,3926.0,0,0,0,0,0,0,0,0,0,0,1.0
5035.0,5534.0,0,63060.0,0,0,0,0,0,0,0,0,0,0,0.0
88199.0,6073.0,0,61405.0,0,0,0,0,0,0,0,0,0,0,33.0
88373.0,6125.0,0,62050.0,0,0,0,0,0,0,0,0,0,0,64.0
88529.0,6225.0,0,63116.0,0,0,0,0,0,0,0,0,0,0,64.0
120.0,43.0,0,1170.0,0,0,0,0,0,0,0,0,0,0,0.0
113.0,75.0,0,5785.0,0,0,0,0,0,0,0,0,0,0,0.0
13078.0,211.0,1,16469.0,0,0,0,0,0,1,0,0,0,1,0.0
15541.0,0.0,0,2088.0,0,0,0,0,0,0,0,0,0,0,0.0
1144.0,4717.0,0,15164.0,0,0,0,0,0,0,0,0,0,0,0.0
1142.0,4709.0,0,15593.0,0,0,0,0,0,0,0,0,0,0,0.0
14.0,0.0,0,2362.0,0,0,0,0,0,0,0,0,0,0,0.0
1382.0,1671.0,0,11277.0,0,0,0,0,0,0,0,0,0,0,0.0
1915.0,1146.0,0,37724.0,0,0,0,0,0,0,0,0,0,0,0.0
266.0,9.0,0,615.0,0,0,0,0,0,0,0,0,0,0,0.0
266.0,9.0,0,615.0,0,0,0,0,0,0,0,0,0,0,0.0
932.0,1671.0,0,5013.0,0,0,0,0,0,0,0,0,0,0,0.0
929.0,1657.0,0,5013.0,0,0,0,0,0,0,0,0,0,0,0.0
384.0,157.0,0,3856.0,0,1,0,0,0,0,0,0,0,0,0.0
389.0,159.0,0,3922.0,0,1,0,0,0,0,0,0,0,0,0.0
34834.0,2672.0,1,42730.0,0,0,0,0,0,0,0,0,0,0,0.0
34821.0,2675.0,1,42196.0,0,0,0,0,0,0,0,0,0,0,0.0
669.0,467.0,0,6404.0,0,0,0,0,0,0,0,0,0,0,0.0
0.0,44.0,0,3351.0,0,0,0,0,0,0,0,0,0,0,0.0
0.0,44.0,0,3611.0,0,0,0,0,0,0,0,0,0,0,0.0
701958.0,4053.0,0,17316.0,0,0,0,0,0,0,0,0,0,0,13.0
720955.0,4033.0,0,17785.0,0,0,0,0,0,0,0,0,0,0,31.0
802.0,2287.0,0,125027.0,0,0,0,0,0,0,0,0,0,0,0.0
2338.0,172.0,0,5272.0,0,0,0,0,0,0,0,0,0,0,0.0
2298.0,4997.0,0,33779.0,0,0,0,0,0,0,0,0,0,0,0.0
2361.0,1106.0,0,5836.0,0,1,0,0,0,0,0,0,0,0,0.0
300.0,24.0,0,10699.0,0,0,0,0,0,0,0,0,0,0,0.0
521.0,1007.0,0,54418.0,0,0,0,0,0,0,0,0,0,0,0.0
2206.0,234.0,0,12977.0,0,0,0,0,0,0,0,0,0,0,0.0
1834.0,2856.0,0,113716.0,0,0,0,0,0,0,0,0,0,0,0.0
23338.0,21592.0,0,36074.0,0,0,0,0,0,0,0,0,0,0,0.0
23131.0,12510.0,0,74520.0,0,0,0,0,0,0,0,0,0,0,0.0
63.0,2.0,0,2284.0,0,0,0,0,0,0,0,0,0,0,0.0
2060.0,740.0,0,24013.0,0,0,0,0,0,0,0,0,0,0,0.0
8704.0,2315.0,0,118999.0,0,0,0,0,1,0,0,0,0,0,0.0
2157.0,1522.0,0,41715.0,0,0,0,0,0,0,0,0,0,0,0.0
7673.0,5668.0,0,128517.0,0,0,0,0,0,0,0,0,0,0,0.0
7659.0,5665.0,0,130437.0,0,0,0,0,0,0,0,0,0,0,0.0
1332.0,524.0,0,14844.0,0,0,0,0,0,0,0,0,0,0,0.0
31.0,73.0,0,12686.0,0,0,0,0,0,0,0,0,0,0,0.0
4419.0,4314.0,0,50904.0,0,0,0,0,0,0,0,0,0,0,1.0
10412.0,55.0,0,24350.0,0,0,1,0,0,0,0,0,0,0,1.0
57.0,84.0,0,9054.0,0,0,0,0,0,0,0,1,0,0,0.0
574.0,265.0,0,16200.0,0,0,0,0,0,0,0,0,0,0,0.0
210.0,329.0,0,26111.0,0,0,0,0,0,0,0,0,0,0,2.0
19453.0,745.0,0,13169.0,0,0,0,0,1,0,0,0,0,0,6.0
19391.0,746.0,0,13122.0,0,0,0,0,1,0,0,0,0,0,9.0
19335.0,743.0,0,13091.0,0,0,0,0,1,0,0,0,0,0,0.0
18519.0,800.0,0,12714.0,0,0,0,0,1,0,0,0,0,0,17.0
18831.0,797.0,0,12787.0,0,0,0,0,1,0,0,0,0,0,13.0
18890.0,799.0,0,12818.0,0,0,0,0,1,0,0,0,0,0,17.0
19057.0,799.0,0,12880.0,0,0,0,0,1,0,0,0,0,0,0.0
19480.0,746.0,0,13182.0,0,0,0,0,1,0,0,0,0,0,16.0
30.0,506.0,0,406.0,0,0,0,0,0,0,0,0,0,0,0.0
1111.0,406.0,0,54799.0,0,0,0,0,0,0,0,0,0,0,0.0
65927.0,835.0,1,5060.0,0,0,0,0,0,0,0,0,1,0,0.0
466.0,718.0,0,13559.0,0,0,0,0,0,0,0,0,0,0,1.0
2.0,4.0,0,5103.0,0,0,0,0,0,0,0,0,0,0,0.0
1151.0,462.0,0,74352.0,0,0,0,0,0,0,0,0,0,0,0.0
1529.0,1079.0,0,54901.0,0,0,0,0,0,0,0,0,0,0,0.0
1509.0,1077.0,0,53842.0,0,0,0,0,1,0,0,0,0,0,1.0
1169270.0,437.0,1,213806.0,0,0,1,0,0,0,0,0,0,0,38.0
9.0,5.0,0,2227.0,0,0,0,0,0,0,0,0,0,0,0.0
335.0,68.0,0,8613.0,0,0,0,0,0,0,0,0,0,0,0.0
341.0,41.0,0,1854.0,0,0,0,0,0,0,0,0,0,0,0.0
90.0,130.0,0,12795.0,0,0,0,0,0,0,0,0,0,0,0.0
1597.0,2351.0,0,14458.0,0,0,0,0,0,0,0,0,0,0,0.0
2491.0,625.0,0,131.0,1,1,0,0,0,0,0,0,0,0,0.0
414.0,224.0,0,1921.0,0,0,1,0,0,0,0,0,0,0,0.0
325497.0,1874.0,1,11772.0,0,0,0,0,0,0,0,0,0,0,15.0
328473.0,1869.0,1,11933.0,0,0,0,0,0,0,0,0,0,0,34.0
329941.0,1873.0,1,12079.0,0,0,0,0,0,0,0,0,0,0,51.0
